Nome,Categoria,Coleções,Preço,Preço Antigo,Desconto,Qtd Cores,Cores Disponíveis,Status Foto,Link Foto Principal
Minute,Linha Esportiva,Linha Performance,R$ 169.90,R$ 297.90,43%,17,"Azul Lente Ice, Cinza Lente Preta, Cinza Lente Dark Ruby, Cooper Lente Ruby, Preta Lente Preta, Branca Lente Torch, Branca Lente Dark Ruby, Marrom Lente Gold, Preta Lente Ice, Grafite Lente Preta, Preta Lente Torch, Azul Lente Dark Ruby, Preta Lente Ruby, Preta Lente Gold, Preta Lente Roxa, Preta Lente Rosa, Preta Lente Espelhada",FALTA FOTO REAL,(sem foto real — pendente)
Plantaris,Linha Esportiva,Linha Performance,R$ 169.90,R$ 297.90,43%,12,"Matte Bone Lente Gold, Preta Lente Ruby, Preta Lente Preta, Preta Haste Transparente, Cinza Lente Preta, Verde Lente VR28, Piet Lente VR28, Cinza Lente Ruby, Azul Escuro Lente Preta, Cinza Lente Azul, Cinza Lente Gold, Cinza Lente VR28",FALTA FOTO REAL,(sem foto real — pendente)
Juliet,Linha X-Metal,,R$ 169.90,R$ 297.90,43%,12,"Carbon Lente Espelhada, Carbon Lente Roxa, 24K Lente Preta, 24K Lente Gold, X Metal Lente Tanzanite, Carbon Lente Dark Ruby, X Metal Lente Gold Café, X Metal Lente Ruby, X Metal Lente Roxa Kit Branco, Carbon Lente Ruby, X Metal Lente Preta, X Metal Lente Ruby Kit Vermelho",FALTA FOTO REAL,(sem foto real — pendente)
Plate,Linha X-Metal,,R$ 169.90,R$ 297.90,43%,9,"Carbon Lente Ruby, Bege Lente Gold Café, Bege Lente Espelhada, Carbon Lente Espelhada, Xmetal Lente Preta, Carbon Lente Preta, Cooper Lente VR28, Plasma Lente Dark Ruby, Plasma Lente Gold Café",FALTA FOTO REAL,(sem foto real — pendente)
Dartboard,Linha Clássica,,R$ 169.90,R$ 297.90,43%,5,"Degrade Preta, Prata Lente Espelhada, Preta Lente Preta, Preta Lente VR28, Rosa Haste Branca",OK,https://site-pi-six-62.vercel.app/assets/produtos/dartboard/degrade-preta.jpg
De Soto,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,3,"Azul Lentes Espelhada, Carbon Lentes Black, Cristal Lentes Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/de-soto/azul-lentes-espelhada.jpg
Eye Jacket,Linha Clássica,,R$ 169.90,R$ 297.90,43%,13,"Cinza Lente Espelhada, Cinza Lente G26, Cinza Lente Gold, Cinza Lente Preta, Cinza Lente Tanzanite, Cinza Lente VR28, Preta Lente Espelhada, Preta Lente G26, Preta Lente Gold, Preta Lente Ice, Preta Lente Rosa Transparente, Preta Lente Tanzanite, Preta Lente VR28",OK,https://site-pi-six-62.vercel.app/assets/produtos/eye-jacket/cinza-lente-espelhada.jpg
Highland,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,5,"Carbon Lentes Black, Carbon Lentes Espelhada, Cristal Lentes Black, Cristal Lentes Transparente Vermelha, Marrom Lentes VR28",OK,https://site-pi-six-62.vercel.app/assets/produtos/highland/carbon-lentes-black.jpg
HSTN,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,12,"Cinza Escuro Claro Gold Café, Cinza Escuro Claro Lente Gold, Cinza Escuro Claro Lente Roxa, Preta e Cinza Lente Ruby, Preta Lente Dark Ruby, Preta Lente Espelhada, Preta Lente Gold, Preta Lente Ice, Preta Lente Preta, Preta Lente Roxa, Preta Lente Ruby, Preta Lente Tanzanite",OK,https://site-pi-six-62.vercel.app/assets/produtos/hstn/cinza-escuro-claro-gold-cafe.jpg
Permian,Linha Clássica,Novidades,R$ 169.90,R$ 297.90,43%,19,"All Black, Bege Lentes Degradê, Bege Lentes VR28, Black Lentes Black, Black Lentes Liquid Metal, Black Lentes Rosé, Branco Lentes Black, Clear Lentes Black, Clear Lentes Marrom, Clear Lentes Rosé, Cristal Lentes Black, Cristal Lentes Ruby, Cristal Lentes Transparente Rosa, Marrom Coffee Lentes Black, Marrom Coffee Lentes VR28, Marrom Lentes Black, Marrom Lentes Rosé, Marrom Lentes VR28, Matte Emerald G26",OK,https://site-pi-six-62.vercel.app/assets/produtos/permian/all-black.jpg
